transactionType,transactionStatus,transactionScac,transactionCompanyName,transactionLicenseNo,transactionStarted,transactionChanged,transactionStage,chassisDamaged,containerDamaged,notes,containerAccNbr,chassisAccNbr,transactionNextStage,tStateTime,unitNbr,length,height,facility,tranNbr,category,chassisNbr,dwell,ecInTime,isHazardous,hazDoc,lastMove,lineName,lineCode,position,timeCreated,timeIn,timeOut,tState,type,typeArchISO,vgmWeight,vState,gkey,bookingNo,chassisType,inboundCarrier,outboundCarrier,pod,freightKind,weight,daysOnTerminal,hazards/0/code,hazards/0/description,hazards/0/hazardUnNumber,hazards/1/code,hazards/1/description,hazards/1/hazardUnNumber
Deliver Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-11T07:23:16.286000,2019-07-11T07:23:16.655000,Outgate,False,False,,,,,2019-07-11T07:23:23,,20',"4'3""",PCY,23689,Storage,HRCZ320023,False,,False,False,2019-07-11T07:23:23.470000,,HRC,T-UN11316,2019-07-11T07:09:00,2019-07-11T07:09:00,2019-07-11T07:23:23,Departed,CH,TRI20,,Departed,4765105736,,,T-2666450  (PISE),T-UN11316  (GTYQ),,,11199,1,,,,,,
Receive Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-11T06:55:36.395000,2019-07-11T06:55:36.888000,Ingate,False,False,,,,,2019-07-11T07:06:15,,20',"4'0""",PCY,23622,Storage,FLXZ204729,False,,False,False,2019-07-11T07:06:15.816000,,HRC,T-WC-5191,2019-07-11T06:55:36,2019-07-11T06:55:36,2019-07-11T07:06:15,Departed,CH,CH20,,Departed,4765096949,,,T-UN11316  (GTYQ),T-WC-5191  (AISB),,,6601,1,,,,,,
Receive Empty,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-10T17:18:16.775000,2019-07-10T17:39:11.483000,Outgate,False,False,,,,,2019-07-14T10:00:00,CAIU2933413,20',"8'6""",VIG,870625,Export,NYKZ207773,False,,False,False,2019-07-14T09:46:37.831000,,MSC,V-MSLBUL928W-050886,2019-07-10T17:19:16,2019-07-10T17:30:54,2019-07-14T10:00:00,Departed,G1,286DR,4850,Departed,1284678443,,,T-70991543003853  (GTYQ),V-MSLBUL928W  (MSC),SIN,MTY,4850,5,,,,,,
Deliver Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-10T17:19:25.193000,2019-07-10T17:39:11.281000,Outgate,False,False,,,,,2019-07-10T17:39:11,,20',"4'0""",VIG,870633,Storage,NYKZ207773,False,,False,False,2019-07-12T21:01:38.400000,,HRC,T-70991543003853-2,2019-07-10T17:19:16,2019-07-10T17:28:34,2019-07-10T17:39:11,Departed,CH,CZ20,,Departed,1284678455,,,T-GEN_TRUCK,T-70991543003853  (GTYQ),,,6799,1,,,,,,
Receive Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-10T13:09:03.469000,2019-07-10T13:09:27.166000,Outgate,False,False,107,,,,2019-07-10T13:51:55,,20',"4'0""",PMT,778598,Storage,FLXZ202138,False,,False,False,2019-07-12T13:52:42.551000,,HRC,T-17168PY,2019-07-10T13:09:03,2019-07-10T13:09:03,2019-07-10T13:51:55,Departed,CH,CH20,,Departed,4764530060,,,T-UN11316  (GTYQ),T-17168PY  (GTLP),,,6601,1,,,,,,
Deliver Chassis,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-10T12:30:52.231000,2019-07-10T12:46:28.902000,Outgate,False,False,,,,,2019-07-10T12:46:29,,20',"4'0""",VIG,869268,Storage,FLXZ202138,False,,False,False,2019-07-12T12:47:38.419000,,HRC,T-70991543003853-2,2019-07-03T12:06:05,2019-07-03T12:21:16,2019-07-10T12:46:29,Departed,CH,CZ20,,Departed,1271323605,,,T-GEN_TRUCK,T-70991543003853  (GTYQ),,,6799,8,,,,,,
Receive Empty,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-10T09:49:04.259000,2019-07-10T10:48:34.925000,Outgate,False,False,,,,,2019-07-14T10:00:00,GLDU3243514,20',"8'6""",VIG,868544,Export,APMZ231895,False,,False,False,2019-07-14T09:43:50.790000,,MSC,V-MSLBUL928W-050786,2019-07-10T09:50:35,2019-07-10T10:17:06,2019-07-14T10:00:00,Departed,G1,286DR,4921,Departed,1283659305,,,T-70991543003853  (GTYQ),V-MSLBUL928W  (MSC),SIN,MTY,4921,5,,,,,,
Deliver Import,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-10T09:50:54.438000,2019-07-10T10:48:34.754000,Outgate,False,False,,,,,2019-07-10T10:48:34,PONU0128635,20',"8'6""",VIG,868553,Import,APMZ231895,False,,False,False,2019-07-12T20:05:38.395000,,MSK,T-70991543003853-3,2019-06-17T03:45:36,2019-07-08T14:14:54,2019-07-10T10:48:34,Departed,G1,286DR,47377,Departed,1239680717,,20CZ,V-MSVI-ME927E  (MSC),T-70991543003853  (GTYQ),VIG,FCL,47377,3,,,,,,
Receive Empty,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-10T07:44:34.488000,2019-07-10T08:40:29.470000,Outgate,False,False,,,,,2019-07-14T10:00:00,MAEU6808396,20',"8'6""",VIG,867882,Export,TRLZ201341,False,,False,False,2019-07-14T09:37:04.009000,,MSK,V-MSLBUL928W-690886,2019-07-10T07:44:34,2019-07-10T08:22:44,2019-07-14T10:00:00,Departed,G1,286DR,4916,Departed,1283350335,,,T-UN11316  (GTYQ),V-MSLBUL928W  (MSC),XMN,MTY,4916,5,,,,,,
Deliver Import,COMPLETE,GTYQ,"GILCO TRUCKING COMPANY AGENT GROUP, INC",UN11316,2019-07-10T07:44:33.755000,2019-07-10T08:40:29.265000,Outgate,False,False,,,,,2019-07-10T08:40:29,MSKU5707136,20',"8'6""",VIG,867881,Import,TRLZ201341,False,,False,False,2019-07-12T20:05:38.396000,,MSK,T-UN11316-3,2019-06-17T03:45:38,2019-07-08T14:42:06,2019-07-10T08:40:29,Departed,G1,286DR,51853,Departed,1239680966,,20CZ,V-MSVI-ME927E  (MSC),T-UN11316  (GTYQ),VIG,FCL,51853,3,,,,,,
